job_id,searched_role,company,job_title,skill
2202858547,Big Data Engineer,Innovalus Technologies,Big Data Engineer,Hadoop
2202858547,Big Data Engineer,Innovalus Technologies,Big Data Engineer,Kafka
2202858547,Big Data Engineer,Innovalus Technologies,Big Data Engineer,AWS
2202858547,Big Data Engineer,Innovalus Technologies,Big Data Engineer,Azure
2202858547,Big Data Engineer,Innovalus Technologies,Big Data Engineer,Java
1155089753,Big Data Engineer,Unbxd Software Pvt Ltd,Big Data Engineer,SQL
1155089753,Big Data Engineer,Unbxd Software Pvt Ltd,Big Data Engineer,Linux
1155089753,Big Data Engineer,Unbxd Software Pvt Ltd,Big Data Engineer,Java
1155089753,Big Data Engineer,Unbxd Software Pvt Ltd,Big Data Engineer,Scala
5677794551,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Python
5677794551,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Spark
5677794551,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,AWS
5677794551,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Snowflake
5677794551,Big Data Engineer,SOT-Science of talent Acquisition consulting services Pvt Ltd,Big Data Engineer,Scala
5785772911,Data Architect,MSD,"Senior Technical Architect , Data Context Layer",Git
5782333988,Data Architect,Eurofins GSC IT DC,Data Architect,SQL
5782333988,Data Architect,Eurofins GSC IT DC,Data Architect,Azure
5782333988,Data Architect,Eurofins GSC IT DC,Data Architect,ETL
5782333988,Data Architect,Eurofins GSC IT DC,Data Architect,Scala
5792949464,Data Architect,Trigent Software Private Limited,Data Architect,Azure
5792949464,Data Architect,Trigent Software Private Limited,Data Architect,Scala
5699844765,Data Architect,Risosu Consulting LLP,Data Architect,ETL
5761948059,Data Architect,Paypal,Data Architect,Scala
1171507698,Data Architect,I Base IT,Data Architect,Spark
1171507698,Data Architect,I Base IT,Data Architect,Hadoop
1171507698,Data Architect,I Base IT,Data Architect,Data Warehouse
1171507698,Data Architect,I Base IT,Data Architect,Java
1171507698,Data Architect,I Base IT,Data Architect,Scala
5526739322,Data Architect,r3 Consultant,Data Architect,Scala
2830210482,Data Architect,Amagi Media Labs,Data Architect,Scala
5731955290,Data Architect,Compunnel Technology India Private Limited,Data Architect,ETL
5785771270,Analytics Engineer,Morningstar,Marketing AI/ML Engineer,Machine Learning
5750260034,Analytics Engineer,NeoGenCode Technologies Pvt Ltd,Analytics Engineer,SQL
5750260034,Analytics Engineer,NeoGenCode Technologies Pvt Ltd,Analytics Engineer,Scala
5635579299,Analytics Engineer,Hirestar job Bank,Analytics Engineer,Scala
2478113297,Analytics Engineer,Moonraft Innovation Labs,Analytics engineer,Java
5692874384,Analytics Engineer,Capgemini,FBS Analytics Engineer,Airflow
5692874384,Analytics Engineer,Capgemini,FBS Analytics Engineer,ETL
5692874384,Analytics Engineer,Capgemini,FBS Analytics Engineer,Scala
5774235410,Analytics Engineer,Warner Bros. Discovery,Staff Analytics Engineer,Scala
5743881589,Analytics Engineer,AIIR Holdings,Data Analytics Engineer,Machine Learning
5766210835,Analytics Engineer,Mitratech India,Analytics Engineer II,Airflow
5766210835,Analytics Engineer,Mitratech India,Analytics Engineer II,Snowflake
5766210835,Analytics Engineer,Mitratech India,Analytics Engineer II,ETL
5645256061,Analytics Engineer,Topcoder,Sr. Analytics Engineer,Scala
